id,label,text,prediction_old,prediction_new,prediction_changed,n_models_error,models_with_error,reasoning
1196,ham,I want to send something that can sell fast. <#> k is not easy money.,spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: First-person phrasing (""I want to send something"", ""is not easy money"") indicates a personal statement rather than a promotional pitch; no marketing buzzwords like ""free"", ""win"", ""offer"", or urgent calls-to-action.
2. Structural cues: Simple sentence structure, informal tone, and use of a placeholder (""<#> k"") suggesting a personal reference to an amount rather than a formatted promotional offer or URL.
3. Contextual interpretation: The message reads as someone discussing selling an item quickly and remarking that a certain amount (""<#>k"") is not easy money — this expresses intent or opinion rather than soliciting or advertising to the recipient.
4. Decision summary: Overall content and tone are personal and informational, not promotional or unsolicited, so the appropriate label is ham."
1408,ham,"That's good, because I need drugs",spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Uses first-person phrasing (""I need drugs"") and casual conversational tone (""That's good, because ...""), indicating a personal statement rather than promotional language.
2. Structural cues: Short, single-sentence message with no marketing markers (no links, prices, offers, call-to-action, or branded language).
3. Contextual interpretation: The message expresses an individual's need (potentially medical or personal) rather than attempting to sell, advertise, or scam; intent appears personal/communicative.
4. Decision summary: Despite referencing ""drugs,"" the message lacks promotional or unsolicited characteristics and functions as a personal statement, so it should be classified as ham."
1535,ham,There are no other charges after transfer charges and you can withdraw anyhow you like,spam,ham,True,3,"['gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']","1. Linguistic cues: Uses neutral, informational language (""no other charges"", ""you can withdraw anyhow you like"") rather than promotional or persuasive wording.
2. Structural cues: Single plain sentence with no links, phone numbers, call-to-action, or marketing phrases; no urgency or sales punctuation.
3. Contextual interpretation: Reads like a transactional or personal clarification about fees and withdrawal options (likely from a bank or a person), not an unsolicited offer or scam.
4. Decision summary: The message is informational and non-promotional, so it is classified as ham."
1663,ham,"As in missionary hook up, doggy hook up, standing...|",spam,ham,True,3,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini']","1. Linguistic cues: The message contains explicit sexual terms (""missionary,"" ""doggy,"" ""hook up,"" ""standing"") that indicate a personal sexual context rather than commercial language or offers.
2. Structural cues: Short, casual phrasing and trailing ellipsis suggest conversational or flirtatious text rather than a structured advertisement, link, or call-to-action typical of spam.
3. Contextual interpretation: The content appears to be part of a personal/sexual discussion or sexting about positions and hookup activity, not an unsolicited promotional, fraudulent, or marketing message.
4. Decision summary: Because the message is explicit and personal in nature without promotional intent or spam-like formatting, it should be classified as ham."
1787,ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.,spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Congratulatory phrasing (""You got job in wipro"", ""you will get every thing in life""), use of a smiley emoticon "":)"" and second-person address indicate a personal, supportive tone.
2. Structural cues: Casual punctuation and informal spacing, no links, offers, phone numbers, or marketing language present.
3. Contextual interpretation: The message shares personal news and encouragement rather than promoting a product, service, or scam; it reads like a friend or acquaintance celebrating good news.
4. Decision summary: All cues point to a legitimate, non-promotional personal message, so the correct label is ham."
1991,ham,Who's there say hi to our drugdealer,spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Informal, conversational language (""Who's there"", ""say hi"", ""our drugdealer"") suggests a personal message between acquaintances rather than promotional copy.
2. Structural cues: No links, phone numbers, offers, or call-to-action typical of spam; casual punctuation and phrasing indicate a direct chat-style text.
3. Contextual interpretation: The intent appears to be social—asking someone to identify themselves or greet a known person—rather than advertising, soliciting, or scamming.
4. Decision summary: Despite referencing an illicit role, the message reads as a personal, informal prompt to greet someone, so it is classified as ham."
2117,ham,soon you will have the real thing princess! Do i make you wet? :),spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']","1. Linguistic cues: Contains direct, intimate language and sexual phrasing (""princess"", ""Do i make you wet?"") and a smiling emoticon, indicating a personal, flirtatious tone rather than promotional wording.
2. Structural cues: Informal capitalization and punctuation, use of a pet name and emoticon, and no links, offers, or call-to-action typical of spam.
3. Contextual interpretation: Message appears intended to arouse or flirt with a specific recipient (personal communication) rather than to advertise, solicit, or deceive.
4. Decision summary: The intimate, conversational language and lack of promotional content indicate this is a personal/sexual message, so it is classified as ham."
2169,ham,Here got lots of hair dresser fr china.,spam,ham,True,3,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Colloquial phrasing (""Here got lots of...,"" ""fr"" for ""from"") and informal tone indicate a casual, conversational message rather than marketing copy.
2. Structural cues: Short, single-sentence statement with no call-to-action, price, link, or typical promotional wording.
3. Contextual interpretation: Reads like an observation or message to a friend about the local availability of hairdressers from China, not an unsolicited commercial offer.
4. Decision summary: The informal language and lack of promotional markers point to a personal remark, so the message is classified as ham."
2269,ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",spam,spam,False,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Mentions a commercial product by name (""Boost"", ""drinking boost evrydy"", ""Boost is d secret of my energy"") and includes an explicit offer-like phrase (""I hv free msgs""), which are common in promotional or forwarded marketing texts.
2. Structural cues: Heavy use of leetspeak/abbreviations, emoticons, and a short anecdotal story ending with a moral — a format typical of chain/forwarded promotional SMS rather than a personal message.
3. Contextual interpretation: The story serves to endorse the product (portrays Boost as the source of energy and happiness), indicating promotional intent rather than a purely personal communication.
4. Decision summary: Because the message promotes a branded product and resembles a chain/marketing forward with an offer of ""free msgs,"" it should be classified as spam."
2283,ham,Your pussy is perfect!,spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']","1. Linguistic cues: The message uses direct, explicit sexual language (""pussy"") and a personal second‑person address (""Your""), framed as a compliment (""is perfect!""), indicating an intimate or personal tone rather than promotional phrasing.
2. Structural cues: It's a short, single declarative sentence with exclamatory emphasis; there are no links, numbers, offers, or calls to action typical of spam/phishing.
3. Contextual interpretation: The content reads as a personal erotic compliment likely intended for an individual recipient rather than an unsolicited commercial or fraudulent solicitation.
4. Decision summary: Because the message is intimate/personal in tone, lacks promotional or deceptive elements, and appears to be a direct sexual remark rather than an advertisement or scam, it is best classified as ham."
2530,ham,"Hi, can i please get a <#> dollar loan from you. I.ll pay you back by mid february. Pls.",spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Polite, first-person plea (""Hi, can i please get..."", ""I.ll pay you back"", ""Pls."") with personal timeframe (""by mid february"")—language of a personal request rather than a promotional pitch.
2. Structural cues: Informal punctuation/typos (I.ll), no links, no business names, offers, discounts, or call-to-action typical of spam.
3. Contextual interpretation: The message is asking an individual for a personal loan and promising repayment—an interpersonal financial request, not unsolicited advertising or a fraudulent-sounding mass message.
4. Decision summary: The content and style indicate a personal plea for help rather than commercial or promotional messaging, so it should be labeled ham."
2543,spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",ham,spam,True,3,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5']","1. Linguistic cues: Use of terms like ""darling"" and ""sexy"" and the request ""tell me what you look like and what you are in to"" signal sexual solicitation and flirtatious intent.
2. Structural cues: Informal, one-shot opening with casual punctuation and a conversational push to engage (no personal context or reference), typical of unsolicited messages.
3. Contextual interpretation: The message's purpose is to initiate an explicit/personal chat and solicit personal descriptors — characteristic of unwanted adult solicitation or spam rather than a routine personal message.
4. Decision summary: Language and tone indicate an unsolicited sexual approach intended to provoke a response, so the message is classified as spam."
2593,ham,Cool. I am <#> inches long. hope you like them big!,spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']","1. Linguistic cues: The message uses explicit, sexual language (""I am <#> inches long"", ""hope you like them big!"") and informal, conversational tone (""Cool."").
2. Structural cues: Short, direct sentences without URLs, offers, calls to action, or commercial phrasing; contains a redacted numeric placeholder (""<#>"") suggesting a personal attribute rather than promotional content.
3. Contextual interpretation: The intent appears to be personal/sexual communication or flirtation directed at the recipient, not an unsolicited advertisement, scam, or promotional message.
4. Decision summary: Although explicit, the message is personal and non-commercial in nature, so it should be classified as ham."
2634,ham,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Uses direct, instructional language (""Open rebtel with firefox"", ""put plus sign"", ""Once you pick that number the pin will display""), mentions ""my number"" which indicates a personal context rather than promotion.
2. Structural cues: Plain, conversational sentence structure with step-by-step directions, no marketing phrases, no links, no call-to-action typical of spam.
3. Contextual interpretation: The message appears to be troubleshooting or guiding someone to retrieve a PIN/phone number on a specific service (Rebtel) — a personal or support-oriented intent rather than unsolicited advertising or fraud.
4. Decision summary: Because it provides specific, personal instructions without promotional or fraudulent indicators, it is classified as ham."
2655,ham,Yeah get the unlimited,spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Informal, conversational wording (""Yeah get the unlimited"") with casual affirmation ""Yeah"" and directive ""get"" suggests a personal reply or recommendation rather than a promotional pitch.
2. Structural cues: Short, plain text with no marketing markers (no brand names, no links, no capitalization patterns, no phone numbers or codes) and no sales-y phrasing like ""buy now,"" ""free,"" or ""limited time.""
3. Contextual interpretation: Reads like a one-to-one response advising someone to choose an ""unlimited"" option (e.g., a phone plan or service) in a personal conversation, not an unsolicited advertisement or scam.
4. Decision summary: The message is an informal, personal recommendation without promotional or fraudulent indicators, so it is labeled ham."
3040,ham,What's ur pin?,spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Informal, conversational language (""What's ur"" using text shorthand ""ur"") and a direct question; no marketing words (free, win, offer) or calls-to-action typical of spam.
2. Structural cues: Very short, single-sentence question with a question mark; lacks links, numbers, promotional formatting, or bulk-mail markers.
3. Contextual interpretation: The message appears to be a person asking another person for a PIN (personal/transactional information) rather than an unsolicited promotional or fraudulent pitch. While requesting a PIN can be risky, the intent expressed is interpersonal rather than promotional.
4. Decision summary: The style and content indicate a private, conversational request, so it is classified as ham (non-promotional)."
3226,spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms,ham,spam,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini']","1. Linguistic cues: The affectionate language (""LIFE has never been this much fun...You made it truly special"") mimics a personal message, but the closing phrase ""enjoy @ one gbp/sms"" explicitly mentions a price and per-SMS rate, which is a commercial/payment cue.
2. Structural cues: Use of ""@"" and the pricing unit ""one gbp/sms"" (currency + ""/sms"") is typical of promotional or premium service messages rather than genuine personal texts.
3. Contextual interpretation: The presence of a cost implies the sender intends to monetize the message (subscription or premium SMS), making it promotional/unsolicited rather than purely personal.
4. Decision summary: Despite the sentimental wording, the explicit pricing and service-style format indicate a commercial/premium message, so it should be classified as spam."
3229,spam,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,ham,spam,True,3,"['gpt-5', 'gpt-5-mini', 'gpt-4.1']","1. Linguistic cues: Uses an imperative prompt (""Please reply with your AGE and GENDER"") and a terse example (""e.g 24M""), which are common in automated, non-personal messages.
2. Structural cues: Template-like, generic greeting (""Welcome!""), all-caps labels (AGE and GENDER), and a short, transactional format indicate an automated/system message rather than a personal conversation.
3. Contextual interpretation: The message is soliciting personal demographic information likely for registration, marketing, or data collection — typical behavior of promotional or unsolicited services rather than a personal/human sender.
4. Decision summary: The combination of automated tone, template structure, and solicitation of personal info indicates this is spam."
3326,ham,Should i send you naughty pix? :),spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']","1. Linguistic cues: Informal, conversational language (""naughty pix"", smiley "":)""), first-person question directly addressing the recipient — indicates a personal solicitation rather than a commercial offer.
2. Structural cues: Short, single-sentence question with casual punctuation and a smiley emoticon; lacks links, offers, or marketing language typical of spam.
3. Contextual interpretation: The intent is to solicit sexual images from the recipient in a personal exchange; there is no promotion, product, or fraudulent scheme.
4. Decision summary: Although explicit and potentially inappropriate, the message is a personal solicitation rather than unsolicited commercial or fraudulent content, so it is classified as ham."
3473,ham,Great! I shoot big loads so get ready!,spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']","1. Linguistic cues: The message uses informal, first-person language and explicit sexual phrasing (""I shoot big loads"", ""get ready!"") indicating a personal, intimate tone rather than commercial or promotional wording.
2. Structural cues: Short, direct sentences with exclamation marks and no links, offers, or call-to-action typical of ads or scams.
3. Contextual interpretation: The content appears to be a personal sexual message directed at a known recipient rather than unsolicited solicitation, fraud, or marketing.
4. Decision summary: Given the explicit, personal nature and absence of promotional or deceptive elements, this is best classified as ham (personal/legitimate) rather than spam."
3521,spam,2/2 146tf150p,ham,ham,False,3,"['gpt-5-nano', 'gpt-5-mini', 'gpt-4.1']","1. Linguistic cues: The message contains only terse alphanumeric tokens (""2/2 146tf150p"") with no promotional keywords (e.g., ""free"", ""win"", ""offer"", ""buy""), no URLs, and no call-to-action language.
2. Structural cues: The short, compact format resembles a personal shorthand or code (dates, measurements, or notes) rather than the longer, formatted structure typical of spam (sales pitch, pricing, links, instructions to reply).
3. Contextual interpretation: The content appears to be a brief personal note or coded information (e.g., a date and numeric/alpha code) with no persuasive or unsolicited intent; there is no indication of advertising, phishing, or fraud.
4. Decision summary: Absence of promotional language, links, or solicitations and the presence of terse, likely personal shorthand lead to classification as ham."
3603,ham,Let's pool our money together and buy a bunch of lotto tickets. If we win I get <#> % u get <#> %. Deal?,spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Informal language and shorthand (""Let's"", ""u"", ""Deal?"") and first-person/plural pronouns (""our"", ""we"") indicate a personal one-to-one proposal rather than a commercial pitch.
2. Structural cues: Casual punctuation and sentence structure, no links, no call-to-action typical of marketing, and use of placeholders (""<#> %"") rather than promotional details.
3. Contextual interpretation: The message proposes splitting lottery tickets and winnings among participants — a personal solicitation to collaborate, not an unsolicited advertisement, scam, or mass promotion.
4. Decision summary: The content is a personal invitation to pool money for lotto tickets, lacking promotional or fraudulent markers, so it should be classified as ham."
3607,ham,Early bird! Any purchases yet?,spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Casual, conversational language (""Early bird!"", ""Any purchases yet?"") with no promotional wording, offers, links, or calls to action typical of spam.
2. Structural cues: Short, informal two-sentence message with natural punctuation and no marketing formatting (no all-caps, no URL, no phone numbers, no discount codes).
3. Contextual interpretation: Reads like a personal check-in or quick question between acquaintances about buying activity, not an unsolicited advertisement or scam.
4. Decision summary: The message is a brief, informal inquiry without promotional content, so it is classified as ham."
3617,ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com,spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: The message uses a polite request (""Can you plz tell me the ans.""), shorthand (""plz"", ""ans.""), and refers to a specific code (""BSLVYL""), indicating a personal question rather than marketing language.
2. Structural cues: Short, conversational SMS style with informal abbreviations and a single informational URL mention (""fullonsms.com""); there are no promotional phrases, calls-to-action, prices, or urgency markers.
3. Contextual interpretation: The sender is asking for help identifying or decoding a message/code that was sent via an SMS service; the intent appears to be informational or personal assistance, not to advertise or solicit.
4. Decision summary: The content is a personal request for information and lacks promotional or fraudulent indicators, so it is classified as ham."
3650,ham,"Gumby's has a special where a <#> "" cheese pizza is $2 so I know what we're doin tonight",spam,ham,True,3,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini']","1. Linguistic cues: Casual, conversational language (""I know what we're doin tonight""), first-person reference, and slang-like contraction indicating a personal message rather than a formal advertisement.
2. Structural cues: Informal punctuation and spacing, inclusion of a placeholder ""<#>"" suggesting a conversational mention of pizza size, not polished marketing copy.
3. Contextual interpretation: The sender is informing/arranging plans with the recipient about a cheap pizza special—not soliciting or promoting to a broad audience.
4. Decision summary: The message reads like a personal plan based on a local deal, so it is legitimate personal communication (ham)."
3945,spam,Missed call alert. These numbers called but left no message. 07008009200,ham,ham,False,3,"['gpt-5-nano', 'gpt-5-mini', 'gpt-4.1']","1. Linguistic cues: The message uses neutral, informational language (""Missed call alert"", ""called but left no message"") without persuasive, promotional, or urgent phrases typical of spam (e.g., ""win"", ""free"", ""act now"").
2. Structural cues: Short, factual structure with a single phone number listed; lacks links, offers, strange punctuation or call-to-action that often indicate spam or phishing.
3. Contextual interpretation: The intent appears to be a simple notification about missed calls, a common legitimate service provided by telecom operators or call-tracking services.
4. Decision summary: The message is an informational alert rather than a promotional or fraudulent solicitation, so it is classified as ham."
3976,spam,"accordingly. I repeat, just text the word ok on your mobile phone and send",ham,spam,True,3,"['gpt-3.5-turbo-0125', 'gpt-5', 'gpt-4.1']","1. Linguistic cues: Imperative phrasing (""just text the word ok"", ""I repeat"") and short directive language are common in automated or promotional prompts rather than natural personal conversation.
2. Structural cues: Lack of personal address or context, clipped sentence fragments, and repetitive instruction suggest a generic mass message or automated request.
3. Contextual interpretation: The message seeks an immediate reply with a single keyword—behavior often used by marketers or scammers to confirm active numbers or opt users into services.
4. Decision summary: The combination of a generic imperative request, repetition, and absence of personal context indicates an unsolicited, likely promotional/automated intent, so it is classified as spam."
4021,spam,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,ham,ham,False,3,"['gpt-5', 'gpt-5-mini', 'gpt-4.1']","1. Linguistic cues: The message uses conversational language (""im sending this message from there..do you see the potential for abuse???"") and asks a rhetorical/questioning prompt rather than making an unsolicited offer or call to action. Although it mentions ""free,"" the tone is informational/concerned rather than promotional.
2. Structural cues: Informal punctuation (ellipses, multiple question marks) and first-person statement indicate a personal or demonstrative message, not the polished formatting typical of marketing or phishing.
3. Contextual interpretation: The sender appears to be demonstrating a capability of a service and soliciting an opinion about possible misuse, suggesting discussion or warning rather than an attempt to sell, solicit, or defraud.
4. Decision summary: Overall the content is informational and conversational with no promotional, fraudulent, or unsolicited intent, so it is classified as ham."
4150,ham,i want to grasp your pretty booty :),spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']","1. Linguistic cues: uses direct first-person desire (""i want to grasp your pretty booty""), explicit sexual language (""booty""), and a friendly emoticon ("":)""), indicating a personal/sexual tone rather than commercial phrasing.
2. Structural cues: short, informal, lowercase texting style with no links, offers, prices, or call-to-action typical of promotional or scam messages.
3. Contextual interpretation: content appears to be a private sexual solicitation or flirtation directed at an individual rather than an unsolicited advertisement, fraud, or mass-distributed promotion.
4. Decision summary: although explicit and potentially inappropriate, the message is personal/sexual in nature and lacks hallmarks of spam (commercial content, links, or scam indicators), so it is classified as ham."
4312,ham,Good. do you think you could send me some pix? I would love to see your top and bottom...,spam,spam,False,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']","1. Linguistic cues: Uses requests for ""pix"" and explicit phrasing (""your top and bottom""), sexual solicitation language indicating an attempt to obtain intimate images.
2. Structural cues: Short, direct imperative/question format asking for content, informal shorthand (""pix""), and trailing ellipsis implying persistence or suggestiveness.
3. Contextual interpretation: The intent is to solicit explicit photos—unsolicited sexual content—which fits patterns of spam/unwanted solicitation even if not commercial.
4. Decision summary: The message is an unsolicited sexual request for images (solicitation), so it should be classified as spam."
4441,ham,Prepare to be pleasured :),spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']","1. Linguistic cues: The phrase ""Prepare to be pleasured"" is direct, intimate and sexual; the smiling emoticon "":)"" reinforces a personal, flirtatious tone rather than promotional language.
2. Structural cues: Very short, informal message with no links, offers, discounts, phone numbers, or call-to-action typical of spam.
3. Contextual interpretation: The intent appears to be personal/romantic or sexual communication aimed at an individual, not an attempt to sell, solicit, or defraud a broad audience.
4. Decision summary: The wording and format indicate a personal, flirtatious message rather than unsolicited advertising or fraud, so it is classified as ham."
