id,label,text,prediction
943,ham,Or better still can you catch her and let ask her if she can sell <#> for me.,spam
951,ham,what is your account number?,spam
956,ham,Hey you can pay. With salary de. Only <#> .,spam
1051,ham,Where can download clear movies. Dvd copies.,spam
1163,spam,You have 1 new voicemail. Please call 08719181503,ham
1183,spam,You have 1 new voicemail. Please call 08719181513.,ham
1190,ham,Rofl betta invest in some anti aging products,spam
1196,ham,I want to send something that can sell fast. <#> k is not easy money.,spam
1222,ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",spam
1252,ham,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",spam
1260,ham,"K so am I, how much for an 8th? Fifty?",spam
1319,ham,"<#> %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to <#> frnds in <#> mins whn u read...",spam
1408,ham,"That's good, because I need drugs",spam
1422,spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL,ham
1457,ham,Total video converter free download type this in google search:),spam
1506,ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,spam
1535,ham,There are no other charges after transfer charges and you can withdraw anyhow you like,spam
1586,spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",ham
1638,ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,spam
1667,ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James.",spam
1672,ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,spam
1724,ham,No dear i do have free messages without any recharge. Hi hi hi,spam
1787,ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.,spam
1794,ham,"Say this slowly.? GOD,I LOVE YOU & I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people & u c miracle tomorrow, do it,pls,pls do it...",spam
1820,ham,I love your ass! Do you enjoy doggy style? :),spam
1988,ham,Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color,spam
1991,ham,Who's there say hi to our drugdealer,spam
2017,ham,"Probably, want to pick up more?",spam
2158,spam,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",ham
2169,ham,Here got lots of hair dresser fr china.,spam
2233,ham,Am surfing online store. For offers do you want to buy any thing.,spam
2241,ham,Tell your friends what you plan to do on Valentines day @ <URL>,spam
2269,ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",spam
2278,ham,"Hi, Mobile no. <#> has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",spam
2331,ham,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" <#> lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for <#> yrs. Can give <#> crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than <#> social projects. Every citizen can get monthly <#> /- for <#> yrs. No need of World Bank & IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.""",spam
2391,ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto <#> .Call Ms.Suman <#> for Telephonic interview -via Indyarocks.com,spam
2397,ham,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",spam
2427,ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.,spam
2433,ham,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together & fuelled by love & concern prior 2 her grief & pain. Pls join in dis chain & pass it. STOP VIOLENCE AGAINST WOMEN.",spam
2439,ham,Please sen :)my kind advice :-)please come here and try:-),spam
2479,ham,"My friend just got here and says he's upping his order by a few grams (he's got $ <#> ), when can you get here?",spam
2502,ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,spam
2530,ham,"Hi, can i please get a <#> dollar loan from you. I.ll pay you back by mid february. Pls.",spam
2543,spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",ham
2579,ham,"Feb <#> is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",spam
2634,ham,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",spam
2643,spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,ham
2646,ham,Send me your id and password,spam
2655,ham,Yeah get the unlimited,spam
2681,ham,Some are lasting as much as 2 hours. You might get lucky.,spam
2688,spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,ham
2706,ham,Today iZ Yellow rose day. If u love my frndship give me 1 misscall & send this to ur frndZ & See how many miss calls u get. If u get 6missed U marry ur Lover.,spam
2817,spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",ham
2844,ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,spam
2879,ham,Get ready for <#> inches of pleasure...,spam
2914,ham,Somebody should go to andros and steal ice,spam
3040,ham,What's ur pin?,spam
3053,ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",spam
3087,ham,I will send them to your email. Do you mind <#> times per night?,spam
3121,spam,RCT' THNQ Adrian for U text. Rgds Vatian,ham
3125,ham,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name <#> janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra <#> % true.. Don't neglet.,spam
3174,spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,ham
3226,spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms,ham
3300,ham,says the <#> year old with a man and money. I'm down to my last <#> . Still waiting for that check.,spam
3346,ham,"I got like $ <#> , I can get some more later though. Get whatever you feel like",spam
3386,ham,How much would it cost to hire a hitman,spam
3428,spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",ham
3480,ham,"Hello, As per request from <#> Rs.5 has been transfered to you",spam
3521,spam,2/2 146tf150p,ham
3569,ham,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.,spam
3570,ham,For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. <#> Petrol-Rs. <#> Beer-Rs. <#> SHESIL <#>,spam
3576,ham,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited <#> rs and il be getiing <#> rs..i can draw my acc wen it is <#> rs..",spam
3603,ham,Let's pool our money together and buy a bunch of lotto tickets. If we win I get <#> % u get <#> %. Deal?,spam
3607,ham,Early bird! Any purchases yet?,spam
3617,ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com,spam
3654,ham,Cab is available.they pick up and drop at door steps.,spam
3656,ham,Unlimited texts. Limited minutes.,spam
3753,ham,We'll you pay over like <#> yrs so its not too difficult,spam
3819,spam,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,ham
3886,spam,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",ham
3927,ham,"Well the general price is <#> /oz, let me know if/when/how much you want",spam
3945,spam,Missed call alert. These numbers called but left no message. 07008009200,ham
3980,ham,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",spam
4049,ham,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),spam
4063,ham,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,spam
4067,ham,You give us back my id proof and <#> rs. We wont allow you to work. We will come to your home within days,spam
4098,ham,yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke,spam
4107,spam,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,ham
4158,ham,Please tell me you have some of that special stock you were talking about,spam
4179,spam,3. You have received your mobile content. Enjoy,ham
4338,ham,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!,spam
4360,spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114",ham
4365,ham,Wewa is 130. Iriver 255. All 128 mb.,spam
4411,ham,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to <#>,spam
4421,ham,We have pizza if u want,spam
4426,ham,"When you just put in the + sign, choose my number and the pin will show. Right?",spam
4458,ham,"Call me, i am senthil from hsbc.",spam
4520,ham,S.this will increase the chance of winning.,spam
4573,ham,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,spam
4576,spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",ham
4594,ham,Hey do you want anything to buy:),spam
4683,ham,Go chase after her and run her over while she's crossing the street,spam
4745,ham,But i'm really really broke oh. No amount is too small even <#>,spam
4883,ham,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ <#> .,spam
4972,ham,This is ur face test ( 1 2 3 4 5 6 7 8 9 <#> ) select any number i will tell ur face astrology.... am waiting. quick reply...,spam
4981,spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,ham
4986,spam,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,ham
4988,ham,Somebody set up a website where you can play hold em using eve online spacebucks,spam
5054,spam,"Latest News! Police station toilet stolen, cops have nothing to go on!",ham
5098,ham,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",spam
5131,spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,ham
