id,text
1346,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
1584,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
5020,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx
4274,:( but your not here....
3460,Yup. Thk of u oso boring wat.
1221,Honey boo I'm missing u.
1159,Come to my home for one last time i wont do anything. Trust me.
24,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
2981,I.ll get there tomorrow and send it to you
34,For fear of fainting with the of all that housework you just did? Quick have a cuppa
4036,Captain is in our room:)
4468,Gd luck 4 ur exams :-)
3113,Dear good morning how you feeling dear
4239,IM LATE TELLMISS IM ON MY WAY
3313,I always chat with you. In fact i need money can you raise me?
241,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
4577,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.
4787,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate
1414,Bought one ringtone and now getting texts costing 3 pound offering more tones etc
2777,I've not sent it. He can send me.
4224,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not
80,Its not the same here. Still looking for a job. How much do Ta's earn there.
732,Men like shorter ladies. Gaze up into his eyes.
3340,Ü come lt 25 n pass to me lar
2329,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.
2688,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
2679,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
3244,If india win or level series means this is record:)
297,Need a coffee run tomo?Can't believe it's that time of week already
2340,I donno if they are scorable
1635,Nan sonathaya soladha. Why boss?
1393,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
3626,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?"
1439,I told your number to gautham..
3047,Its like that hotel dusk game i think. You solve puzzles in a area thing
1770,What time is ur flight tmr?
3185,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
4420,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?
4268,hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.
3946,I attended but nothing is there.
1426,"Just sent you an email – to an address with incomm in it, is that right?"
3371,Yeah sure I'll leave in a min
3517,Hows the street where the end of library walk is?
3383,If you were/are free i can give. Otherwise nalla adi entey nattil kittum
3803,"Ya ok, then had dinner?"
2635,and picking them up from various points
4920,"I can. But it will tell quite long, cos i haven't finish my film yet..."
4563,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
1232,"Tee hee. Off to lecture, cheery bye bye."
2866,Am in film ill call you later.
2665,How will I creep on you now? ;_;
3287,"Yeah, probably earlier than that"
5005,Hi. Hope you had a good day. Have a better night.
2414,FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
2433,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together & fuelled by love & concern prior 2 her grief & pain. Pls join in dis chain & pass it. STOP VIOLENCE AGAINST WOMEN."
352,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
3210,It only does simple arithmetic not percentages.
5118,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs
3743,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly"
1011,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*"
3772,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS"
882,"I wonder if your phone battery went dead ? I had to tell you, I love you babe"
3569,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
545,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
4840,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !"
2289,First has she gained more than <#> kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries
2243,Cheers for the message Zogtorius. Ive been staring at my phone for an age deciding whether to text or not.
2821,Ma head dey swell oh. Thanks for making my day
4407,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply"
1211,"I do know what u mean, is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep!"
2893,"Awesome question with a cute answer: Someone asked a boy ""how is ur life?"" . . He smiled & answered: . . ""She is fine!"" Gudnite"
3414,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.
4155,COME BACK TO TAMPA FFFFUUUUUUU
85,Yup next stop.
4271,"""CHA QUITEAMUZING THATSCOOL BABE,PROBPOP IN & CU SATTHEN HUNNY 4BREKKIE! LOVE JEN XXX. PSXTRA LRG PORTIONS 4 ME PLEASE """
228,Get down in gandhipuram and walk to cross cut road. Right side <#> street road and turn at first right.
2418,Can you just come in for a sec? There's somebody here I want you to see
1617,"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)"
2320,A bloo bloo bloo I'll miss the first bowl
4188,No..its ful of song lyrics..
4336,Are you planning to come chennai?
107,"Aight, I'll hit you up when I get some cash"
4711,"Sorry, I'll call you later. I am in meeting sir."
1819,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
1974,Hi where you. You in home or calicut?
643,"Wait, do you know if wesleys in town? I bet she does hella drugs!"
4974,Yep get with the program. You're slacking.
2524,Pandy joined 4w technologies today.he got job..
5103,"Machan you go to gym tomorrow, i wil come late goodnight."
4168,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123"
9,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
4029,I guess it is useless calling u 4 something important.
2529,"It,,s a taxt massage....tie-pos argh ok! Lool!"
627,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola"
1718,Did u see what I posted on your Facebook?
2112,I'm in a movie. Call me 4 wat?
832,"I am real, baby! I want to bring out your inner tigress..."
1182,"that would be good ... I'll phone you tomo lunchtime, shall I, to organise something?"
927,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging
1836,My sister got placed in birla soft da:-)
158,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
280,Ok. I asked for money how far
556,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?"
487,Are you free now?can i call now?
4032,It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
180,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
2060,You see the requirements please
2998,Ugh hopefully the asus ppl dont randomly do a reformat.
168,Great escape. I fancy the bridge but needs her lager. See you tomo
2993,How much did ur hdd casing cost.
4211,When are you guys leaving?
2304,I'm meeting Darren...
3602,I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.
890,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you
1789,Dunno da next show aft 6 is 850. Toa payoh got 650.
291,Are you this much buzy
539,"Sorry that took so long, omw now"
4419,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?"
498,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.
3444,Senthil group company Apnt 5pm.
719,No he didn't. Spring is coming early yay!
30,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
3653,"Same, I'm at my great aunts anniversary party in tarpon springs"
3097,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.
2116,"(And my man carlos is definitely coming by mu tonight, no excuses)"
3930,Ok i'm coming home now.
3474,I'll meet you in the lobby
843,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
4181,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
4402,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor..."
473,When're you guys getting back? G said you were thinking about not staying for mcr
4807,Ok leave no need to ask
2222,That's cause your old. I live to be high.
3440,Want to send me a virtual hug?... I need one
1871,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do."""
2400,Congrats kano..whr s the treat maga?
1567,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ <#> worth tonight if possible
4887,Gud ni8.swt drms.take care
4198,"My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen for ages, yeah we should get together sometime!"
3935,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*
3483,S:)but he had some luck.2 catches put down:)
152,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
2155,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm
4292,Full heat pa:-) i have applyed oil pa.
3950,Will be office around 4 pm. Now i am going hospital.
752,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
1449,I'm putting it on now. It should be ready for <TIME>
932,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT"
3478,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
81,"Sorry, I'll call later"
735,U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795
2595,Okie.. Thanx..
995,Don know..wait i will check it.
625,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062."
4669,"Uncle G, just checking up on you. Do have a rewarding month"
978,No..but heard abt tat..
423,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..
4748,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
2643,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?
486,What class of <#> reunion?
2523,Why she wants to talk to me
1809,Dont know supports ass and srt i thnk. I think ps3 can play through usb too
3506,We left already we at orchard now.
4561,Oh for fuck's sake she's in like tallahassee
2348,I know complain num only..bettr directly go to bsnl offc nd apply for it..
169,Yes :)it completely in out of form:)clark also utter waste.
1130,You sure your neighbors didnt pick it up
4170,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha."
3870,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
334,Just sleeping..and surfing
1624,"Yeah, that's fine! It's £6 to get in, is that ok?"
255,Where are you lover ? I need you ...
3429,Wat's da model num of ur phone?
806,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
997,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18
4255,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...
1264,I tot u reach liao. He said t-shirt.
880,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
3154,I AM AT THE GAS STATION. GO THERE.
4409,Jason says it's cool if we pick some up from his place in like an hour
4705,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?
2516,I WILL CAL YOU SIR. In meeting
3348,I love you both too :-)
200,I sent you <#> bucks
3079,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar
5078,Have you seen who's back at Holby?!
3571,"Actually nvm, got hella cash, we still on for <#> ish?"
506,No..jst change tat only..
4835,Ugh my leg hurts. Musta overdid it on mon.
1966,Ü dun wan to watch infernal affair?
394,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..
1958,IM GONNA MISS U SO MUCH
4742,Gokila is talking with you aha:)
4261,I'm awake oh. What's up.
1840,And stop being an old man. You get to build snowman snow angels and snowball fights.
3337,What happen dear. Why you silent. I am tensed
1452,Host-based IDPS for linux systems.
2218,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.."
3915,He's in lag. That's just the sad part but we keep in touch thanks to skype
3001,Still otside le..u come 2morrow maga..
4048,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
849,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r
2216,"I have 2 sleeping bags, 1 blanket and paper and phone details. Anything else?"
894,"Call me da, i am waiting for your call."
4400,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow."
229,Dear we are going to our rubber place
4557,Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.
2785,Wat's my dear doing? Sleeping ah?
2232,That day you asked about anand number. Why:-)
3140,Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx
1201,How much are we getting?
4499,I am going to sleep. I am tired of travel.
1506,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
249,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
2158,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!"
2742,Ü still attending da talks?
4477,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?"
3540,Would me smoking you out help us work through this difficult time
671,Is xy going 4 e lunch?
1075,You busy or can I come by at some point and figure out what we're doing tomorrow
4927,"yeah, that's what I was thinking"
427,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
3096,Thanx a lot...
3607,Early bird! Any purchases yet?
4242,"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more"
1469,Shall i ask one thing if you dont mistake me.
1919,Eh den sat u book e kb liao huh...
1748,Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
3306,"Two fundamentals of cool life: ""Walk, like you are the KING""...! OR ""Walk like you Dont care,whoever is the KING""!... Gud nyt"
5156,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate."
89,I'm really not up to it still tonight babe
1026,Do u noe wat time e place dat sells 4d closes?
1216,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...
3835,Lemme know when you're here
3808,Noice. Text me when you're here
411,Alright i have a new goal now
3101,Badrith is only for chennai:)i will surely pick for us:)no competition for him.
1790,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate"
1938,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!
1787,You got job in wipro:)you will get every thing in life in 2 or 3 years.
4528,yes baby! I need to stretch open your pussy!
145,Yes see ya not on the dot
316,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
1570,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
4404,"Yup. Anything lor, if u dun wan it's ok..."
1236,network operator. The service is free. For T & C's visit 80488.biz
4880,Well she's in for a big surprise!
1863,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
2276,I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.
4733,Aiya we discuss later lar... Pick ü up at 4 is it?
1376,"""Speak only when you feel your words are better than the silence..."" Gud mrng:-)"
3373,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
1533,"It's cool, let me know before it kicks off around <#> , I'll be out and about all day"
2887,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
1420,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
3837,He needs to stop going to bed and make with the fucking dealing
3538,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo
4363,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text"
4393,"Haha awesome, I might need to take you up on that, what you doin tonight?"
1322,What does the dance river do?
1129,Yun buying... But school got offer 2000 plus only...
101,Please don't text me anymore. I have nothing else to say.
3543,"Sir Goodmorning, Once free call me."
4969,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)"
4354,Not..tel software name..
908,Oh all have to come ah?
4917,Well good morning mr . Hows london treatin' ya treacle?
5053,"aight we can pick some up, you open before tonight?"
4474,Just come home. I don't want u to be miserable
3107,Not to worry. I'm sure you'll get it.
4374,Eatin my lunch...
1972,So dont use hook up any how
3889,I cant wait for cornwall. Hope tonight isnt too bad as well but its rock night shite. Anyway im going for a kip now have a good night. Speak to you soon.
4608,I am in bus on the way to calicut
110,Dont worry. I guess he's busy.
3419,Should I head straight there or what
3968,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx"
4351,No. Yes please. Been swimming?
1428,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
4259,PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS)
839,Spoons it is then okay?
1744,The bus leaves at <#>
3843,how are you? I miss you!
4319,Jus finish blowing my hair. U finish dinner already?
3063,Good. No swimsuit allowed :)
834,"""AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX."""
4881,1 in cbe. 2 in chennai.
3266,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4..."
3698,They r giving a second chance to rahul dengra.
656,This pay is <DECIMAL> lakhs:)
3955,Stupid auto correct on my phone
1742,Ok lor thanx... Ü in school?
2979,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
3639,Oh ok wait 4 me there... My lect havent finish
2324,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201
4444,Whens your radio show?
764,That means get the door
5158,"Pity, * was in mood for that. So...any other suggestions?"
298,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
5025,So how are you really. What are you up to. How's the masters. And so on.
2119,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
4272,Omg how did u know what I ate?
829,I am in office:)whats the matter..msg me now.i will call you at break:).
309,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
231,Yes:)here tv is always available in work place..
4413,I dont know ask to my brother. Nothing problem some thing that. Just i told .
1097,Ok.ok ok..then..whats ur todays plan
1401,I am in a marriage function
2358,Anything lar...
5019,Gr8. So how do you handle the victoria island traffic. Plus when's the album due
3339,If you are not coughing then its nothing
4443,if you text on your way to cup stop that should work. And that should be BUS
1756,Are you going to write ccna exam this week??
3504,Blank is Blank. But wat is blank? Lol
1478,No screaming means shouting..
4988,Somebody set up a website where you can play hold em using eve online spacebucks
692,True dear..i sat to pray evening and felt so.so i sms'd you in some time...
766,Beerage?
438,"""HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX"""
