id,label,text,prediction,n_models_error,models_with_error
2634,ham,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
2655,ham,Yeah get the unlimited,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
3040,ham,What's ur pin?,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
3226,spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms,ham,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini']"
3229,spam,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,ham,3,"['gpt-5', 'gpt-5-mini', 'gpt-4.1']"
3326,ham,Should i send you naughty pix? :),spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']"
3473,ham,Great! I shoot big loads so get ready!,spam,3,"['gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']"
3521,spam,2/2 146tf150p,ham,3,"['gpt-5-nano', 'gpt-5-mini', 'gpt-4.1']"
3603,ham,Let's pool our money together and buy a bunch of lotto tickets. If we win I get <#> % u get <#> %. Deal?,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
3607,ham,Early bird! Any purchases yet?,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
3617,ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
3650,ham,"Gumby's has a special where a <#> "" cheese pizza is $2 so I know what we're doin tonight",spam,3,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3945,spam,Missed call alert. These numbers called but left no message. 07008009200,ham,3,"['gpt-5-nano', 'gpt-5-mini', 'gpt-4.1']"
3976,spam,"accordingly. I repeat, just text the word ok on your mobile phone and send",ham,3,"['gpt-3.5-turbo-0125', 'gpt-5', 'gpt-4.1']"
4021,spam,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,ham,3,"['gpt-5', 'gpt-5-mini', 'gpt-4.1']"
4150,ham,i want to grasp your pretty booty :),spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']"
4312,ham,Good. do you think you could send me some pix? I would love to see your top and bottom...,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']"
4441,ham,Prepare to be pleasured :),spam,3,"['gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']"
4528,ham,yes baby! I need to stretch open your pussy!,spam,3,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini']"
4594,ham,Hey do you want anything to buy:),spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
4995,ham,I will be gentle baby! Soon you will be taking all <#> inches deep inside your tight pussy...,spam,3,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini']"
